,Personal Data,,,,,,,,Electoral Data,,,,,,,,,,,,Endorsement Data,,,,,,,,,Misc. Stuff
Candidate,Gender,Race 1,Race 2,Race 3,Big Lie,Big Lie Date,Big Lie Recanvasser,Big Lie Notes,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,Trump,Trump Date,Club for Growth,Party Committee,Renew America,E-PAC,VIEW PAC,Maggie's List,Winning for Women,Notes
Paul Royse,Male,White,,,N/A,6/14/2022,N/A (they are N/A),no info on campaign website regarding election,No,No,Oklahoma,6/28/2022,Senator (unexpired term),N/A,900,0%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John F. Tompkins,Male,Unknown,,,N/A,6/14/2022,N/A (they are N/A),no website or social media,No,No,Oklahoma,6/28/2022,Senator (unexpired term),N/A,"2,332",1%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Randy J. Grellner,Male,White,,,N/A,6/14/2022,N/A (they are N/A),"campaign website says that he wants ""free and fair elections"" but no detail otherwise",No,No,Oklahoma,6/28/2022,Senator (unexpired term),N/A,"15,794",4%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kevin Hern,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),"voted against certifying election results, highlighted concerns of election fraud, supported TX lawsuit",Yes,No,Oklahoma,6/28/2022,Representative,1,1,100%,Won,N/A,N/A,N/A,Yes,6/27/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John Bennett,Male,White,,,Yes,3/10/2023,Kaleigh,"supported Jan 6 insurrectionists, endorsed Lahmeyer for US Senate because Sen Lankford did not delay certification of 2020 election votes",No,No,Oklahoma,6/28/2022,Representative,2,"8,713",11%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dustin Roberts,Male,White,,,Yes,6/15/2022,Maya,"signed a letter as state rep. encouraging AZ House of Representatives to check for election fraud in 2020, supported TX lawsuit over 2020 election",No,No,Oklahoma,6/28/2022,Representative,2,"3,746",5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Guy Barker,Male,White,,,N/A,6/15/2022,N/A (they are N/A),couldn't load campaign website to check for issues,No,No,Oklahoma,6/28/2022,Representative,2,"8,444",11%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Clint Johnson,Male,White,,,N/A,6/15/2022,N/A (they are N/A),contacted email found on campaign FB,No,No,Oklahoma,6/28/2022,Representative,2,"1,128",1%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chris Schiller,Male,White,,,N/A,6/15/2022,N/A (they are N/A),,No,No,Oklahoma,6/28/2022,Representative,2,"4,108",5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Marty Quinn,Male,White,,,N/A,6/15/2022,N/A (they are N/A),,No,No,Oklahoma,6/28/2022,Representative,2,"5,612",7%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Johnny Teehee,Male,White,,,?,3/2/2023,Nathaniel,said that there was definitely voter fraud in the 2020 election but unsure the extent,No,No,Oklahoma,6/28/2022,Representative,2,"9,963",13%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"signed a letter encouraging AZ House of Representatives to check for election fraud in 2020; just before the runoff, also tweeted, ""The irregularities of the 2020 election were outrageous; I will never be convinced that Biden received more votes than any other president in history. Stand up for Trump or get out of the way.""",Male,White,,,Yes,3/10/2023,Kaleigh,"signed a letter encouraging AZ House of Representatives to check for election fraud in 2020; just before the runoff, also tweeted, ""The irregularities of the 2020 election were outrageous; I will never be convinced that Biden received more votes than any other president in history. Stand up for Trump or get out of the way.""",No,No,Oklahoma,6/28/2022,Representative,2,"11,336",15%,Made runoff,30686,48%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Rhonda Hopkins,Female,White,Asian,,N/A,6/15/2022,N/A (they are N/A),no campaign website or campaign social media,No,No,Oklahoma,6/28/2022,Representative,2,"1,281",2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
David Derby,Male,White,,,Yes,6/15/2022,Maya,"said that Biden (""a knucklehead"") stole the 2020 election",No,No,Oklahoma,6/28/2022,Representative,2,"4,204",5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Pamela Gordon,Female,White,,,Yes,3/2/2023,Nathaniel,1. Yes 2. Yes,No,No,Oklahoma,6/28/2022,Representative,2,"2,344",3%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Wes Nofire,Male,White,,,Yes,3/10/2023,Kaleigh,1. Does Wes Nofire think Trump won the 2020 election? yes 2. Does Wes Nofire think the 2020 election was illegitimate? No Wes Nofire Cherokee Nation Tribal Council D-3 Sent from my iPhone,No,No,Oklahoma,6/28/2022,Representative,2,"4,859",6%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Erick P. Wyatt,Male,White,,,N/A,6/15/2022,N/A (they are N/A),no up-to-date campaign website (changed to a different race),No,No,Oklahoma,6/28/2022,Representative,2,615,1%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Josh Brecheen,Male,White,,,N/A,12/1/2022,N/A (checked against interactive),,No,No,Oklahoma,6/28/2022,Representative,2,"10,579",14%,Made runoff,33517,52%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Frank D. Lucas,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),voted to reject certification of AZ Electoral College votes,Yes,No,Oklahoma,6/28/2022,Representative,3,"44,442",61%,Won,N/A,N/A,N/A,Yes,4/11/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Wade Burleson,Male,White,,,?,3/2/2023,Nathaniel,"lists ""election integrity and transparency"" on campaign page, tweeted about election integrity and 2000 Mules",No,Yes,Oklahoma,6/28/2022,Representative,3,"22,258",31%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Stephen Butler,Male,Unknown,,,N/A,6/15/2022,N/A (they are N/A),no campaign website or social media,No,Yes,Oklahoma,6/28/2022,Representative,3,"5,997",8%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tom Cole,Male,White,Native American (Chickasaw),,Yes,12/1/2022,N/A (checked against interactive),voted to overturn election results,Yes,No,Oklahoma,6/28/2022,Representative,4,"43,894",70%,Won,N/A,N/A,N/A,Yes,6/27/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
James Taylor,Male,Black,,,Yes,3/10/2023,Kaleigh,"said that there was widespread fraud that cost Trump the 2020 election, includes ""election integrity"" in extensive detail on campaign site",No,Yes,Oklahoma,6/28/2022,Representative,4,"16,980",27%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Frank W. Blacke,Male,Unknown,,,N/A,6/15/2022,N/A (they are N/A),no campaign website or social media,No,Yes,Oklahoma,6/28/2022,Representative,4,"2,038",3%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Stephanie Bice,Female,White,Middle Eastern (Iranian),,Yes,12/1/2022,N/A (checked against interactive),voted to overturn election results,Yes,No,Oklahoma,6/28/2022,Representative,5,"51,612",68%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,
Subrina Banks,Female,White,,,N/A,6/15/2022,N/A (they are N/A),"campaign website lists ""election integrity"" and various methods of reform",No,Yes,Oklahoma,6/28/2022,Representative,5,"23,891",32%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,
Kevin Stitt,Male,White,,,No,12/1/2022,N/A (checked against interactive),acknowledged Biden as president,Yes,No,Oklahoma,6/28/2022,Governor,N/A,"248,525",69%,Won,N/A,N/A,N/A,Yes,3/14/2022,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Mark Sherwood,Male,White,,,Yes,6/15/2022,Maya,"calls for ""election integrity"" and said that the 2020 election was stolen",No,Yes,Oklahoma,6/28/2022,Governor,N/A,"47,713",13%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Joel Kintsel,Male,White,,,N/A,6/15/2022,N/A (they are N/A),,No,Yes,Oklahoma,6/28/2022,Governor,N/A,"51,587",14%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Moira McCabe,Female,White,,,N/A,6/15/2022,N/A (they are N/A),,No,Yes,Oklahoma,6/28/2022,Governor,N/A,"12,046",3%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Becky Edwards,Female,White,,,No,3/2/2023,Nathaniel,said election was valid nationwide and has criticized Big Lie,No,Yes,Utah,6/28/2022,Senator,N/A,"123,617",30%,Lost,N/A,N/A,N/A,No,N/A,No,No,N/A,N/A,N/A,N/A,N/A,
Ally Isom,Female,White,,,No,3/10/2023,Kaleigh,"""I am satisfied that since every state certified the 2020 outcome, no state legislature recalled their electors or submitted an alternate slate of electors, and not one of the 63 lawsuits filed was successful, it is time to stop looking back and start looking forward to 2024.""",No,Yes,Utah,6/28/2022,Senator,N/A,"34,997",8%,Lost,N/A,N/A,N/A,No,N/A,No,No,N/A,N/A,N/A,N/A,N/A,
Mike Lee,Male,White,,,No?,12/1/2022,N/A (checked against interactive),"Dabbled in Trump's efforts to overturn but ultimately voted to certify. In June 2020, said Biden was duly elected but also that 2000 Mules raised questions. (was previously ""No"" based on him saying Biden was fairly elected)",Yes,No,Utah,6/28/2022,Senator,N/A,"258,089",62%,Won,N/A,N/A,N/A,Yes,4/1/2022,Yes,Yes,N/A,N/A,N/A,N/A,N/A,
Blake D. Moore,Male,White,,,No?,12/1/2022,N/A (checked against interactive),"Voted to certify and to create Jan 6 commission, but also tweeted about ""serious concerns"" with election",Yes,No,Utah,6/28/2022,Representative,1,"58,408",58%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tina Cannon,Female,White,,,N/A,6/20/2022,N/A (they are N/A),e-mailed,No,Yes,Utah,6/28/2022,Representative,1,"14,577",14%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Andrew Badger,Male,White,,,N/A,6/20/2022,N/A (they are N/A),e-mailed,No,Yes,Utah,6/28/2022,Representative,1,"28,437",28%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Erin Rider,Female,White,,,No,6/20/2022,Maya,"Yes. While there were many lessons to be learned from 2020, including the importance of continuing to improve our election integrity and security, Joe Biden won the election, and it is time for us, as Republicans, to turn our sights to the future instead of dwelling on the past.",No,Yes,Utah,6/28/2022,Representative,2,"28,480",27%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chris Stewart,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),voted not to certify election and stood by that vote after J6 attack,Yes,No,Utah,6/28/2022,Representative,2,"75,586",73%,Won,N/A,N/A,N/A,Yes,6/27/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Christopher Niles Herrod,Male,White,,,N/A,6/20/2022,N/A (they are N/A),e-mailed,No,Yes,Utah,6/28/2022,Representative,3,"34,204",30%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John Curtis,Male,White,,,No,12/1/2022,N/A (checked against interactive),"Acknowledged Biden as president-elect in November 2020; voted to certify (had been N/A, for unclear reasons)",Yes,No,Utah,6/28/2022,Representative,3,"78,341",70%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Burgess Owens,Male,Black,,,Yes,12/1/2022,N/A (checked against interactive),"voted not to certify, said Trump won",Yes,No,Utah,6/28/2022,Representative,4,"56,397",62%,Won,N/A,N/A,N/A,Yes,6/27/2022,N/A,N/A,No,N/A,N/A,N/A,N/A,
Jake Hunsaker,Male,White,,,No,3/2/2023,Nathaniel,"Called election fraud allegations a ""proven lie""",No,Yes,Utah,6/28/2022,Representative,4,"34,728",38%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chris Chaffee,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),his personal FB is ripe with tons of posts on this - a few examples attached,No,No,Maryland,7/19/2022,Senator,N/A,"50,514",21%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
George Davis,Male,White,,,No,3/10/2023,Kaleigh,"need help on how or whether it's possible to check the veracity of this linked substack blog - seems to be a conservative blogger-run site that asks the big-lie question straight up to people being interviewed... i stumbled upon the substack via another website that was consolidating MD candidate socials (the rest of which are more straightforward twitter/fb accounts). candidates featured on this substack are self-promoting/sharing their respective ""interview"" on this site, so that makes it feel possibly okay, but definitely want to confirm. anyway, he was very clear in answering: ""Was Joe Biden legitimately elected President of the United States in the November 2020 Election?"" ""Yes""",No,No,Maryland,7/19/2022,Senator,N/A,"21,095",9%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nnabu Eze,Male,Black (Nigerian),,,Yes,7/5/2022,Maya,"retweeted Giuliani tweet about recounts/""defending"" constitution in Nov 2020 + his website details a lot of voting fraud/reform stuff",No,No,Maryland,7/19/2022,Senator,N/A,"9,917",4%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lorie R. Friend,Female,White,,,?,3/2/2023,Nathaniel,very minimal digital footprint but found this copy of a poster of her personal FB page,No,No,Maryland,7/19/2022,Senator,N/A,"35,714",15%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Reba A. Hawkins,Female,Black,,,N/A,7/5/2022,N/A (they are N/A),"*emailed: she has historically been very aligned with extreme right politics, especially leading up to her 2020 election and, according to screenshots from Media Matters reporters, posted (now deleted/nonexistent) tweets in support of qanon. that said, she's been slightly quiter (or quicker to scrub her digital footprint) this cycle",No,No,Maryland,7/19/2022,Senator,N/A,"18,057",7%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jon McGreevey,Male,White,,,Yes,3/10/2023,Kaleigh,"aside from being named as a QAnon theorist by bloomberg, he has over 100 tweet threads (many of which have been taken down on/by twitter) on his personal website, with a lot of references to voter fraud, election integrity, crowdsourcing help for trump, etc. i attached one for reference, but there are dozens to choose from...",No,No,Maryland,7/19/2022,Senator,N/A,"14,128",6%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Joseph Perez,Male,Asian (Filipino),,,N/A,7/5/2022,N/A (they are N/A),lots of sweeping talk about election integrity reforms on his website. no socials to be found and nothing else came up with google searches ,No,No,Maryland,7/19/2022,Senator,N/A,"26,359",11%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Todd A. Puglisi,Male,White,,,No,7/5/2022,Maya,"he shared the linked post on his personal FB page (from which he often references and reshares content on his campaign FB page) by Mitt Romney in Feb 2021 condemning Trump's actions re Jan 6. (lots of other posts, too, even ahead of nov 2020 including Puglisi calling trump's lawyers/team liars in 2020 + he also seems to have voted for biden in 2020). Also this: https://www.baltimoresun.com/politics/elections/voter-guide/bs-2022-candidate-us-senate-puglisitod-20220518-icwc3n3mkbch5ondusip2kfxom-story.html",No,No,Maryland,7/19/2022,Senator,N/A,"13,550",6%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
James Tarantin,Male,Middle Eastern (Israeli),,,N/A,7/5/2022,N/A (they are N/A),*we should email,No,No,Maryland,7/19/2022,Senator,N/A,"20,514",8%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John Thormann,Male,White,,,Yes,3/2/2023,Nathaniel,posted accordingly on his personal FB page following november 2020 ,No,No,Maryland,7/19/2022,Senator,N/A,"33,290",14%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Andy Harris,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),WaPo: objected to certifying PA and AZ electoral votes in 2020,Yes,No,Maryland,7/19/2022,Representative,1,"67,933",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nicolee Ambrose,Female,White,,,?,12/1/2022,N/A (checked against interactive),spewed election fraud theories following nov 2020 in MD RNC email newsletters (found an archive with PDFs via links she tweeted back then) ,No,No,Maryland,7/19/2022,Representative,2,"12,201",32%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Berney Flowers,Male,Black,,,?,3/10/2023,Kaleigh,in Baltimore Sun: says 2020 election caused mass uncertainty and went on to list reforms to mitigate 2020 2.0,No,No,Maryland,7/19/2022,Representative,2,"4,983",13%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Michael A. Geppi,Male,White,,,Declined to answer,7/5/2022,Maya,"in Baltimore Sun: gave a non responses about ECA ""We must ensure that our elections are fair, accessible, and completely accurate.""",No,No,Maryland,7/19/2022,Representative,2,"5,595",15%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Lance Griffin,Male,White,,,N/A,7/5/2022,N/A (they are N/A),*we should email,No,No,Maryland,7/19/2022,Representative,2,"3,192",8%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
"Ellen ""EJ"" McNulty",Female,White,,,N/A,3/2/2023,Nathaniel,"identifies as an anti-Trump Republican and hasn't indulged in any talking points about election integrity, so going to say no",No,No,Maryland,7/19/2022,Representative,2,"4,204",11%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Dave Wallace,Male,White,,,Yes,3/10/2023,Kaleigh,"included in a tweet from 6/11/2022: ""...Besides, there is preliminary evidence to point to massive fraud in the Presidential election.""",No,No,Maryland,7/19/2022,Representative,2,"7,643",20%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
"Thomas E. ""Pinkston"" Harris",Male,Black,,,N/A,7/5/2022,N/A (they are N/A),"zero traceable digital footprint, not even an email",No,No,Maryland,7/19/2022,Representative,3,"4,966",13%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Joe Kelley,Male,White,,,Declined to answer,7/6/2022,Maya,"""Static questions such as these are nothing more than hyped up talking points that will continue to distract everyone from what is important. As an Intern I understand you are simply doing your job. I ask that you pause and reflect on your future. Do not allow corporate entities to sway you and your bias. If you are serious about politics and making a true difference I can assure you such a change will not come from any media company. Regardless of their faux image of Left, Right or Center.""",No,No,Maryland,7/19/2022,Representative,3,"8,924",23%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Yuripzy Morgan,Female,Latino (Salvadoran / Mexican),,,N/A,12/1/2022,N/A (checked against interactive),"she has not spoken out a ton on the issue but she did tweet a WSJ article in Jan 2021 saying in regards to Trump: ""Um, Mr. President suddenly finding 11k votes out of nowhere and changing the results of a certified election looks like election fraud...""",No,No,Maryland,7/19/2022,Representative,3,"13,198",34%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Antonio Patrizio Pitocco,Male,White,,,?,3/10/2023,Nathaniel,"unsure about this one - he's posted/tweeted a lot about fraud in 2020. hasn't said biden is illegitimate but has heavily suggested otherwise and he also took a very ""Decled to answer"" approach to the Electoral Count Act question in the Baltimore Sun. still, he did suggest a lot of Jan 6 was people airing their legitimate grievances... ",No,No,Maryland,7/19/2022,Representative,3,"8,041",20%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Amal Torres,Female,Black (Somali),,,N/A,7/5/2022,N/A (they are N/A),"one incredibly brief aside on her campaign site about election integrity: DEFEND OUR ELECTIONS. No cheating! We must protect and preserve the sacred right to vote in the United States. One person, one vote. Voter ID is critical and American elections must be reserved for American citizens only. I will pursue innovative technology to enhance the security of our elections at all levels.",No,No,Maryland,7/19/2022,Representative,3,"4,171",11%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Eric Loeb,Male,White,,,No,3/10/2023,Kaleigh,in Baltimore Sun: commended Pence for doing his job and certifying the electors ahead of Jan 6 - proceeded to also say he'd vote for Biden in 2024 over anyone except Romney (he clearly states on his website he is neither actually Dem or Rep) ,No,No,Maryland,7/19/2022,Representative,4,607,15%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
George McDermott,Male,White,,,No,3/10/2023,Nathaniel,"he runs a conspiracy theory-ish blog/vlog ... video attached includes of him calling DJT ""a treasonous ex-president"" around 1:25",No,No,Maryland,7/19/2022,Representative,4,"1,091",27%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jeff Warner,Male,White,,,N/A,12/1/2022,N/A (checked against interactive),*we should email,No,No,Maryland,7/19/2022,Representative,4,"2,414",59%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
DuVal Cubero,Male,Unknown,,,Declined to answer,3/10/2023,Kaleigh,"in Baltimore Sun: did not answer question re thoughts on ECA and certifications (claimed he didn't know what that was? would this be N/A then?)... but categorized it like that as he responded to a relatively relevant question about Jan 6 in a textbook ""Declined to answer"" way",No,No,Maryland,7/19/2022,Representative,5,"1,024",3%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
