,Personal Data,,,,,,,,Electoral Data,,,,,,,,,,,,,Endorsement Data,,,,,,,,,,,Misc. Stuff
Steve Williams,Male,white,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Irena,2/20/24,No,No,California,3/5/24,Representative,43,,10896,65.86%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Roger Groh,Male,White,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Irena,2/20/24,No,No,California,3/5/24,Representative,44,,26188,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michelle Steel,Female,asian (korean),,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,Yes,No,California,3/5/24,Representative,45,H0CA48198,78022,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,Yes,Yes,
David Pan,Male,Asian (Taiwanese),,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,California,3/5/24,Representative,46,,30032,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Scott Baugh,Male,White,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Irena,2/20/24,No,No,California,3/5/24,Representative,47,,57517,64.65%,Won,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Long Pham,Male,Asian (Vietnamese),,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,California,3/5/24,Representative,47,,4862,5.47%,Lost,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Max Ukropina,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,California,3/5/24,Representative,47,,26585,29.88%,Lost,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Darrell E. Issa,Male,Middle Eastern (Lebanese),,,Pro-Life,,Irena,2/20/24,Yes,No,California,3/5/24,Representative,48,H0CA48024,111510,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Kate Monroe,Female,White,,,Other,no talking about abortion in schools,Irena,2/20/24,No,No,California,3/5/24,Representative,49,,19026,20.34%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Margarita Wilkinson,Female,hispanic,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,California,3/5/24,Representative,49,,20900,22.34%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Matt Gunderson,Male,White,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Irena,2/20/24,No,No,California,3/5/24,Representative,49,,49001,52.38%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sheryl Adams,Female,White,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,California,3/5/24,Representative,49,,4617,4.94%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Solomon David Moss,Male,Black,,,Other,States' rights issue,Irena,2/20/24,No,No,California,3/5/24,Representative,50,,20252,33.45%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Peter J. Bono,Male,white,,,,,,,No,No,California,3/5/24,Representative,50,,40284,66.55%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bill Wells,Male,White,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Irena,2/20/24,No,No,California,3/5/24,Representative,51,,61923,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Justin Lee,Male,asian,,,N/A,no website,Irena,2/20/24,No,No,California,3/5/24,Representative,52,,33611,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sarah Sun Liew,Female,asian,,,Pro-Life,,Irena,2/20/24,No,No,California,3/5/24,Senator,N/A,,38718,1.36%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
James Bradley,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,California,3/5/24,Senator,N/A,,98778,3.48%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jonathan Reiss,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,California,3/5/24,Senator,N/A,,34400,1.21%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Denice Gary-Pandol,Female,White,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,California,3/5/24,Senator,N/A,,25649,0.90%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Eric Early,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,California,3/5/24,Senator,N/A,,242055,8.52%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"James ""Jim"" Macauley",Male,White,,,No mention,,Irena,,No,No,California,3/5/24,Senator,N/A,,23296,0.82%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Martin Veprauskas,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,California,3/5/24,Senator,N/A,,9795,0.34%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sharleta Bassett,Female,White,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Irena,2/20/24,No,No,California,3/5/24,Senator,N/A,,54884,1.93%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Stefan Simchowitz,Male,White (Jewish),,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,California,3/5/24,Senator,N/A,,12773,0.45%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Steve Garvey,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,California,3/5/24,Senator,N/A,,2301351,80.99%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sandy Smith,Female,White,,,Pro-Life,,Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,1,,29471,46.51%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,No,
Laurie Buckhout,Female,White,,,Pro-Life,,Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,1,,33893,53.49%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,Yes,Yes,
Alan D. Swain,Male,White,,,Pro-Life,,Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,2,,25759,59.55%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Eugene F. Douglass,Male,White,,,N/A,"No campaign website only a substack that says he's pro-life, he also linked to his old hawaii campaign website from 2000 https://web.archive.org/web/20000902195141/http://ourworld.compuserve.com/homepages/gene_douglass/campaign.html",Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,2,,9751,22.54%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Robert Morales Vergara,Male,White,,,Other,"""believes in choosing life""",Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,2,,7747,17.91%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Greg Murphy,Male,White,,,Pro-Life,,Irena,2/20/24,Yes,No,North Carolina,3/5/24,Representative,3,H0NC03172,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Eric Blankenburg,Male,White,,,Other,personally pro-life but believes it should be states' rights,Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,4,,25254,70.44%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mahesh (Max) Ganorkar,Male,Asian (Indian),,,Pro-Life,"seems to support exceptions for incest, rape, and life of the mother",Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,4,,10597,29.56%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ryan Mayberry,Male,White,,,Pro-Life,,Irena,2/20/24,No,Yes,North Carolina,3/5/24,Representative,5,,29457,32.17%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,No,N/A,No,No,N/A,
Virginia Foxx,Female,White,,,Pro-Life,,Irena,2/20/24,Yes,No,North Carolina,3/5/24,Representative,5,H4NC05146,62120,67.83%,Won,N/A,N/A,N/A,Yes,1/30/24,N/A,N/A,N/A,Yes,Yes,N/A,Yes,Yes,N/A,
Bo Hines,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,6,,11746,14.41%,Lost,N/A,N/A,N/A,No,N/A,Yes,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Christian Castelli,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,6,,17171,21.07%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Mary Ann Contogiannis,Female,White,,,Pro-Life,,Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,6,,4195,5.15%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Addison McDowell,Male,White,,,Pro-Life,,Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,6,,21285,26.12%,Made runoff,1,100.00%,Won,Yes,12/13/23,No,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Jay Wagner,Male,White,,,Pro-Life,,Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,6,,7462,9.16%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Mark Walker,Male,White,,,Pro-Life,,Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,6,,19633,24.09%,Made runoff,N/A,N/A,N/A,No,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,"Withdrew, runoff canceled"
David Rouzer,Male,White,,,Pro-Life,,Irena,2/20/24,Yes,No,North Carolina,3/5/24,Representative,7,H2NC07096,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Allan Baucom,Male,White,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,8,,21964,27.00%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chris Maples,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,8,,3787,4.66%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Don Brown,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,8,,8519,10.47%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John R. Bradford III,Male,White,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,8,,14458,17.78%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Leigh Brown,Female,White,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,8,,7845,9.65%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mark Harris,Male,Unknown,,,Pro-Life,,Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,8,,24764,30.45%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Richard Hudson,Male,White,,,Pro-Life,,Irena,2/20/24,Yes,No,North Carolina,3/5/24,Representative,9,H2NC08185,56543,83.34%,Won,N/A,N/A,N/A,Yes,1/30/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Troy L. Tarazon,Male,Unknown,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,Yes,North Carolina,3/5/24,Representative,9,,11307,16.66%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Pat Harrigan,Male,White,,,Pro-Life,,Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,10,,36028,41.21%,Won,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,No,N/A,N/A,N/A,N/A,
Brooke McGowan,Female,White,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,10,,8795,10.06%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,
Charles Eller,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,10,,6076,6.95%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,
Diana Jimison,Female,White,,,N/A,no website,Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,10,,2535,2.90%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,
Grey Mills,Male,White,,,Pro-Life,,Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,10,,34000,38.89%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,Yes,N/A,N/A,N/A,N/A,
Chuck Edwards,Male,White,,,Pro-Life,,Irena,2/20/24,Yes,No,North Carolina,3/5/24,Representative,11,H2NC14050,66717,68.91%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,
Christian Reagan,Male,White,,,Pro-Life,,Irena,2/20/24,No,Yes,North Carolina,3/5/24,Representative,11,,30095,31.09%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,
Addul Ali,Male,Black,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,12,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
DeVan Barbour,Male,White,,,Pro-Life,,Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,13,,12892,15.37%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Brad Knott,Male,White,,,Pro-Life,,Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,13,,15664,18.67%,Made runoff,19632,90.76%,Won,Yes (runoff),4/5/24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chris Baker,Male,White,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,13,,1089,1.30%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
David Dixon,Male,White,,,Pro-Life,,Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,13,,2146,2.56%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Eric Stevenson,Male,Black,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,13,,844,1.01%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Fred Von Canon,Male,White,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,13,,14344,17.10%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
James Phillips,Male,White,,,N/A,no website,Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,13,,565,0.67%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Josh McConkey,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,13,,5926,7.06%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kenny Xu,Male,asian (chinese),,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,13,,3604,4.30%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Marcus Dellinger,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,13,,798,0.95%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Matt Shoemaker,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,13,,2003,2.39%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Siddhanth Sharma,Male,asian (indian),,,Other,"States' rights, supports exceptions to ban",Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,13,,614,0.73%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Steve A. (Von) Loor,Male,White,,,Pro-Life,,Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,13,,427,0.51%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kelly Daughtry,Female,White,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,13,,22978,27.39%,Made runoff,1998,9.24%,Lost,No (runoff),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jeff Gregory,Male,White,,,N/A,no website,Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,14,,9562,12.89%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,
Lillian Joseph,Female,White,,,Pro-Life,,Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,14,,8996,12.12%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,
Tim Moore,Male,White,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Irena,2/20/24,No,No,North Carolina,3/5/24,Representative,14,,55644,74.99%,Won,N/A,N/A,N/A,Yes,2/20/24,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,
Bill Graham,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,North Carolina,3/5/24,Governor,N/A,,164572,16.01%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dale R. Folwell,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,North Carolina,3/5/24,Governor,N/A,,196955,19.16%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mark Robinson,Male,Black,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Irena,2/20/24,No,No,North Carolina,3/5/24,Governor,N/A,,666504,64.83%,Won,N/A,N/A,N/A,Yes,12/12/23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nathaniel Moran,Male,White,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Irena,2/21/24,Yes,No,Texas,3/5/24,Representative,1,H2TX01112,84442,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Dan Crenshaw,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/21/24,Yes,No,Texas,3/5/24,Representative,2,H8TX02166,40379,59.50%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Jameson Ellis,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/21/24,No,Yes,Texas,3/5/24,Representative,2,,27482,40.50%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Jeremy D. Ivanovskis,Male,White,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Irena,2/21/24,No,Yes,Texas,3/5/24,Representative,3,,1224,1.59%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
John Porro,Male,White,,,Pro-Life,,Irena,2/21/24,No,Yes,Texas,3/5/24,Representative,3,,2634,3.43%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Keith Self,Male,White,,,Pro-Life,,Irena,2/21/24,Yes,No,Texas,3/5/24,Representative,3,H2TX03290,55888,72.81%,Won,N/A,N/A,N/A,Yes,1/30/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Suzanne Harp,Female,White,,,Pro-Life,,Irena,2/21/24,No,Yes,Texas,3/5/24,Representative,3,,14215,18.52%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Tre Pennie,Male,Black,,,Pro-Life,,Irena,2/21/24,No,Yes,Texas,3/5/24,Representative,3,,2797,3.64%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Pat Fallon,Male,White,,,Pro-Life,,Irena,2/21/24,Yes,No,Texas,3/5/24,Representative,4,H0TX04219,70801,80.28%,Won,N/A,N/A,N/A,Yes,1/30/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Don Horn,Male,White,,,N/A,no website,Irena,2/21/24,No,Yes,Texas,3/5/24,Representative,4,,17396,19.72%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Lance Gooden,Male,White,,,Pro-Life,,Irena,2/21/24,Yes,No,Texas,3/5/24,Representative,5,H8TX05144,59069,100.00%,Won,N/A,N/A,N/A,Yes,1/30/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
James Buford,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/21/24,No,Yes,Texas,3/5/24,Representative,6,,12782,20.36%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Cliff Wiley,Male,White,,,Pro-Life,,Irena,2/21/24,No,Yes,Texas,3/5/24,Representative,6,,11843,18.87%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Jake Ellzey,Male,White,,,Pro-Life,,Irena,2/21/24,Yes,No,Texas,3/5/24,Representative,6,H8TX06266,38143,60.77%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Tina Blum Cohen,Female,White,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/21/24,No,No,Texas,3/5/24,Representative,7,,3489,14.87%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Carolyn B. Bryant,Female,Black,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/21/24,No,No,Texas,3/5/24,Representative,7,,4382,18.67%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kenneth Omoruyi,Male,Black (Nigerian),,,Pro-Life,,Irena,2/21/24,No,No,Texas,3/5/24,Representative,7,,9834,41.90%,Made runoff,2495,49.56%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Caroline Kane,Female,White,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/21/24,No,No,Texas,3/5/24,Representative,7,,5764,24.56%,Made runoff,2539,50.44%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Morgan Luttrell,Male,White,,,Pro-Life,,Irena,2/21/24,Yes,No,Texas,3/5/24,Representative,8,H2TX08182,69419,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Jared B. Lovelace,Male,White,,,Pro-Life,,Irena,2/21/24,No,Yes,Texas,3/5/24,Representative,10,,23175,27.86%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Michael T. McCaul,Male,White,,,Pro-Life,,Irena,2/21/24,Yes,No,Texas,3/5/24,Representative,10,H4TX10093,59998,72.14%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
August Pfluger,Male,White,,,Pro-Life,,Irena,2/21/24,Yes,No,Texas,3/5/24,Representative,11,H0TX11230,67637,100.00%,Won,N/A,N/A,N/A,Yes,1/30/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Anne Henley,Female,White,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Irena,2/21/24,No,No,Texas,3/5/24,Representative,12,,4849,6.82%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,
Clint Dorris,Male,White,,,Pro-Life,,Irena,2/21/24,No,No,Texas,3/5/24,Representative,12,,10591,14.89%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,
